ID	type	address	area	rooms	sqm_price	description
25	building	"al. Orkana 271
31-641 Przemyśl"	132	8	8104	W wymagać narzędzie przeciwko mieć na imię duński nazwa. Otwór słowo smak most.
26	building	"pl. Górna 82
92-383 Bydgoszcz"	152	10	8367	Kartka dłoń prawdziwy.
27	flat	"pl. Tuwima 04/52
57-771 Turek"	25	2	8056	Mieszkać igła wojna mi.
28	flat	"plac Jeziorna 226
60-609 Stargard Szczeciński"	25	2	10714	Wino moneta wola banknot brzuch. Śniadanie rozmiar badanie pojemnik chrześcijaństwo osioł.
29	building	"aleja Prusa 66
22-524 Skierniewice"	120	8	7616	Finansowy pracownik rok pisarz muzyka oko. Reguła głupota przedstawiciel (…).
30	building	"al. Stycznia 80
01-638 Marki"	127	9	5407	Pojawić Się gdyby pogoda. Mysz więzienie grzyb właśnie.
31	building	"ul. Chełmońskiego 228
60-427 Jaworzno"	154	10	5464	Lubić ramię rzucać obejmować mierzyć otoczenie zamykać. Oko styczeń dziewczynka.
32	flat	"plac Dworska 917
14-275 Kalisz"	60	5	7591	Sieć gałąź przedsiębiorstwo niż radiowy siedem sto. Trzymać przynieść powiedzieć niebieski różowy.
33	flat	"ul. Rolna 83/92
21-043 Mielec"	23	2	8126	Uczyć Się wojsko Rumunia. Centralny gwiazdozbiór powstawać. Wydawać port miasto wysoki.
34	building	"ulica Borówkowa 71
97-988 Łuków"	130	8	6501	Badanie powierzchnia zielony taniec zamknąć. Cel region miara zacząć.
35	flat	"plac Polna 19
46-879 Słupsk"	25	2	8455	Tradycja prowadzić 30 samiec. Nic półwysep nazwisko.
36	building	"ulica Orzeszkowej 44/32
98-159 Elbląg"	77	5	5981	Przyjaźń dać się sok 50 piłka. Gardło sport rodowity pusty wieś ziemniak sprzedawać metal.
37	flat	"ulica Batalionów Chłopskich 42
95-942 Żary"	59	5	9275	"Służyć cesarz cel język okręt jednak. Turcja przyjmować gość własność.
Głód planeta kot ci."
38	building	"plac Majowa 636
34-089 Szczecin"	140	9	9804	Zgromadzenie przepis cierpienie ósmy dziecko. Lewy czyli łączyć ciepło ozdoba szary minuskuła.
39	flat	"ulica Grzybowa 13/18
14-922 Dębica"	66	5	7127	Morze męski Azja klub żydowski panować. Zdolność wzdłuż gmina.
40	building	"ulica Owocowa 003
24-787 Lębork"	78	5	9521	Zły stawiać ogień samolot. Hasło większość talerz.
41	building	"pl. Krańcowa 996
25-030 Ostrów Wielkopolski"	110	7	9816	Rolnik teoria przyjemność mebel urodziny rano. Kontynent umożliwiać a dwudziesty róg popularny.
42	building	"plac Wróblewskiego 74
93-150 Łomża"	76	6	8454	Scena sędzia ojczyzna ludowy 4 pracować. Zapalenie drogi masa południe sen region.
43	flat	"aleja Podmiejska 31/72
39-842 Brzeg"	27	2	7692	Zdjęcie szczęśliwy suma rynek sen. Przejaw dziesięć dokonać budowa ssak minuskuła.
44	flat	"pl. Kruczkowskiego 99
94-218 Rumia"	23	2	8041	Żart woda rodzic naprawdę brzydki całkiem.
45	building	"aleja Wąska 90/90
24-642 Lublin"	88	6	9630	Uznawać niezwykły samolot wódka.
46	building	"ulica Ciasna 722
11-246 Przemyśl"	94	5	8106	Znaleźć ogromny tytuł matka pisarz pojęcie. Urządzenie stół gęś niski.
47	building	"plac Kielecka 099
83-293 Suwałki"	151	9	6306	Kościół Europa ręka rzadki. Ogon hasło punkt pas. Uczucie południowy przygotować cena.
48	flat	"plac Asnyka 828
71-725 Nowy Targ"	51	4	10015	Powodować dyskusja szyja funkcja krew cecha.
49	flat	"pl. Wolności 82
41-030 Żywiec"	26	2	10343	Głód lato muzyka gatunek godzina proces patrzeć. Niech fala prowincja prąd wkrótce ponieważ cena.
50	flat	"al. Szkolna 54/20
91-237 Słupsk"	67	5	10403	Mysz utwór sukienka wisieć. R. przyjemny banknot dawno.
51	flat	"ul. Stefana Batorego 83
72-495 Starogard Gdański"	39	3	7314	Zbiór jajo amharski. Się pomóc opisać. Zwłaszcza pozostawać ojciec właśnie oddać owoc prosić.
52	flat	"pl. Jana Sobieskiego 91
53-285 Świdnik"	25	2	8757	Naturalny amharski zamiast lud. Władca dziewczyna zakończyć okoliczność Egipt.
53	building	"aleja Chmielna 26
78-703 Czechowice-Dziedzice"	149	9	5843	Broń - aktor być. Pamięć zakon wniosek herbata.
54	building	"al. Dąbrowskiego 09
90-898 Lubliniec"	69	5	9618	Przybyć wojna widzieć zając obszar opłata postać. Widoczny Słowacja typ obcy sprawa stać.
55	building	"pl. Partyzantów 28/30
58-065 Bielsk Podlaski"	72	6	8916	Tył fala marka rzeczownik dodać drugi. Stany Zjednoczone ta wóz.
56	flat	"al. Rzemieślnicza 45/80
05-355 Jawor"	64	5	10126	Dawać ty otwarty piosenka dół całość.
57	building	"plac Brzoskwiniowa 31
84-151 Łomża"	95	7	8212	Wpaść morski skład. Gęś wszyscy pasmo lód gazeta decyzja.
58	building	"al. Konarskiego 52/68
35-018 Bydgoszcz"	124	8	7196	Wykonywanie osiemdziesiąt podział diabeł grób. Po klasztor niech lekcja przyjaźń zabawa wypowiedź.
59	building	"plac Sowia 58
61-452 Tarnobrzeg"	67	5	5990	Zabawa norma podobny Australia godny córka. Opisać cukier metoda wszelki.
60	building	"pl. Lwowska 57/32
78-831 Olkusz"	148	10	9187	Wiele filozofia chwila zamieszkiwać zeszły. Królowa ciepły wschód uśmiech odpowiedź ubogi kostka.
61	flat	"ul. Ciasna 768
82-022 Tarnowskie Góry"	63	5	11244	Pewny kłaść skala ze cena radiowy moneta śnieg.
62	flat	"ulica Poznańska 39/44
85-081 Łuków"	47	4	8186	Rana włożyć płaski po prostu ojczyzna okrągły. Przeszkoda biedny chronić dziadek.
63	flat	"ulica Rybacka 85
67-376 Polkowice"	60	5	10366	Zarówno grób rada barwa. Zboże fala po prostu prawda centralny jego.
64	flat	"pl. Nadrzeczna 505
35-524 Olsztyn"	24	2	8179	Kość ślad pozostać stary nauczyciel łąka przeprowadzać wkrótce.
65	building	"plac Orkana 310
83-666 Police"	98	7	7188	Pamięć cebula praktyka dodawać syn. Szwedzki właściciel możliwy gatunek. Wysłać pojemnik łaciński.
66	building	"ulica Szewska 30
39-655 Zamość"	145	10	9789	Święto wróg szereg cena jabłko Australia wilk. Ponownie skutek służba urodzić się.
67	building	"ul. Łączna 39
48-375 Jaworzno"	139	9	9531	Dziadek polityka blisko. Gość terytorium tłum sygnał długi.
68	building	"al. Daszyńskiego 71/83
53-516 Kędzierzyn-Koźle"	139	10	7668	Dać mocny wynosić wtedy. Sąsiad świadczyć mgła opuścić wracać tajemnica.
69	flat	"al. Bociania 345
02-366 Bochnia"	34	3	11179	Zniszczyć komórka trzeba powodować kościelny dotyczyć.
70	building	"al. Srebrna 64
46-225 Jaworzno"	149	10	7229	Narodowość park włoski gwiazda sto przestrzeń.
71	building	"al. Turystyczna 16/79
94-320 Nowa Ruda"	115	7	6066	Święto nóż Dania sobota należy promień wywoływać. Minerał cześć wojenny zakon ja papieros.
72	flat	"ul. Wróblewskiego 80
93-257 Tomaszów Mazowiecki"	64	5	11466	Bardzo bać się książka. Pociąg sen ukraiński wyścig szczególnie uprawiać. Robota małpa rejon.
73	flat	"ulica Piłsudskiego 00
98-175 Rybnik"	26	2	9269	Mieszkać tłum św. towarzystwo. Martwy przestrzeń krew wierzyć mowa północny.
74	building	"aleja Robotnicza 24/30
87-635 Świdnica"	105	8	6309	"Cel Jezus pojawiać się czynić dość ono.
Złożyć owoc gotować niski ciało ryba."
75	flat	"ul. Gałczynskiego 81/68
94-238 Oleśnica"	43	4	9854	Tak wysłać telefon smutek osiągnąć technika. Biblioteka Szwajcaria przedmiot model.
76	building	"plac Maczka 54/04
26-080 Pszczyna"	125	9	6132	Duński chłopiec atmosfera wino umieścić język. Barwa nasiono narkotyk biec próba.
77	flat	"pl. Konwaliowa 65
23-984 Piła"	38	3	11511	– przecież czyjś przyjść trudno lekcja.
78	building	"al. Rolnicza 06
13-423 Olsztyn"	77	5	6076	Ryba błoto dom 6. Wieża użycie latać terytorium jedynie działanie robotnik. Jezus ale on.
79	flat	"aleja Rynek 456
31-571 Konin"	28	2	8911	Częściowo przedsiębiorstwo źródło lęk naj-. Rodzic naukowy danie 6. Poruszać zdrowie włosy owoc.
80	building	"ulica Sikorskiego 49/02
21-860 Rumia"	130	8	9418	Żart 30 martwy próbować karta luty. Podawać pojemnik jedenaście użytkownik.
81	flat	"ulica Zielna 74/65
10-061 Radomsko"	22	2	10453	Pytać Boże Narodzenie praktyka umieścić but zawodnik. Jedyny pięćdziesiąt tam drzewo.
82	flat	"aleja Chabrowa 622
55-615 Turek"	61	5	10164	Japonia cesarz barwa. Anglia robotnik główny dziób.
83	building	"ulica Dębowa 136
53-261 Łaziska Górne"	88	7	6534	Kolejny republika ludowy żaden.
84	building	"pl. Rolna 849
12-371 Żywiec"	78	5	5402	Unia Europejska twarz zamiast wykonanie nasienie.
85	building	"ulica Brzozowa 33
97-215 Skierniewice"	95	6	6174	Zapach służba rozmawiać stanowisko użyć. Waga przejście materiał.
86	flat	"ulica Jagodowa 03/08
65-855 Nysa"	35	3	11822	Tradycyjny cały byk spowodować godny. Jutro sobota szkodliwy wiersz ciepło rozmawiać żółty.
87	flat	"ulica Reymonta 65/06
58-226 Jaworzno"	56	4	9973	Łyżka siódmy radość wąski późny.
88	building	"aleja Plażowa 48/87
30-836 Krotoszyn"	147	10	5087	Koniec traktować dolina taniec. Ślad mieszkanie go odpowiedź cały wy postępować.
89	building	"plac Zacisze 18
66-038 Chojnice"	161	10	6941	Para osiągnąć tradycja.
90	flat	"aleja Średnia 81/92
44-754 Jarosław"	30	2	8494	Podstawa dać znać uciec. Jedynie mięso łagodny szef płeć chociaż. Żywność włożyć niż kilka wyrok.
91	flat	"aleja Orzeszkowej 766
20-126 Gdynia"	28	2	9177	Banknot bardzo reakcja Egipt rok ramię ślad. Poważny musieć otrzymać opinia.
92	flat	"al. Orkana 90/31
52-831 Świebodzice"	24	2	9776	Wschód internetowy król złoto zachód rzeka wchodzić. Całkiem wioska skutek natura naj-.
93	building	"ulica Wrocławska 70/71
16-263 Kościerzyna"	149	9	5442	Uniwersytet wizyta milion bronić.
94	flat	"pl. Krasickiego 23
93-253 Bydgoszcz"	38	3	8480	Stolica pomysł włożyć zanim wierzyć dialekt. Panna zachowywać się związek gleba woda kula broń.
95	flat	"plac Bociania 18/16
69-618 Tczew"	67	5	8451	Korzyść niemiecki duch zgodnie. Kochać zaczynać istotny. Narkotyk kąt po dziób.
96	flat	"ul. Swierkowa 17/95
36-080 Bochnia"	63	5	10452	Ukraina pomagać no rzucić.
97	building	"plac Cisowa 66
75-800 Kędzierzyn-Koźle"	99	6	9339	Musieć widok wystawa napisać Japonia. A duński przedstawiciel gra.
98	flat	"al. Kopernika 913
86-883 Kraków"	58	5	10074	Japoński but właściciel. Śmierć taki jeść.
99	flat	"al. Sawickiej 522
83-976 Częstochowa"	59	5	8525	Jaki minerał gęsty wejść dość. Już parlament większy ten sam łatwy inaczej wstyd artystyczny.
100	building	"aleja Wyspiańskiego 27
98-709 Kluczbork"	105	8	9839	Od przygotowywać umieszczać Białoruś całkowity odzież dolny zaufanie. Zabić wrogość kto.
101	building	"aleja Owocowa 11/50
46-752 Świecie"	104	7	7914	Zaś można 3. Rozpocząć międzynarodowy uzyskać muzeum dość. Podział cebula poduszka kontynent.
102	flat	"al. Stroma 24/46
56-080 Piła"	41	3	10820	Lek kończyć alkohol zmienić koło włos chłopiec.
103	flat	"plac Nadrzeczna 85/07
42-783 Ruda Śląska"	36	3	7688	Silny pełen organ przykład król kiedy –. Przynosić restauracja więzienie budynek naprawdę chłopak.
104	flat	"pl. Powstańców 939
19-291 Czerwionka-Leszczyny"	25	2	8499	Wielki wiara dziewiąty długość zawsze zaufanie kula. Uśmiech średniowieczny kupić słownik.
105	flat	"plac Radosna 51
29-893 Brodnica"	50	4	9037	Samica rzymski dodatkowy dodać dziecięcy związany. Osobisty piąty bezpieczeństwo.
106	flat	"al. Rolnicza 37/02
64-910 Żyrardów"	49	4	8049	Osiągnąć śmiać się policzek późno. I hodować przecież mrówka pomysł.
107	flat	"pl. Częstochowska 94
87-412 Chełm"	44	4	7117	Rejon analiza wieczorem. Rana zmiana płaski.
108	building	"al. Miarki 821
82-749 Jastrzębie-Zdrój"	162	10	9361	Prowincja wrócić sądzić zaufanie wschód rozumieć one. Wpływ tkanina choroba jeszcze tylko.
109	building	"ulica Środkowa 242
61-476 Pszczyna"	65	5	9884	Działanie ozdoba telewizja medycyna. Bieda wisieć zbiornik.
110	building	"ulica Letniskowa 02
19-201 Białystok"	138	10	9477	Biskup wschodni stacja pogoda przyczyna. Jakiś postawić znaczenie — danie.
111	flat	"plac Jarzębinowa 76/11
10-506 Brodnica"	38	3	11914	Spodnie skała powoli stan uniwersytet kaczka.
112	building	"ul. Dębowa 99
44-505 Ostrowiec Świętokrzyski"	66	5	9828	Następować zwykle zewnętrzny talerz obserwować po. Intensywny pociąg ale na myśleć.
113	building	"al. Szkolna 75/30
78-431 Konin"	114	8	6338	Nic wygląd czytać kultura marzec. Wina jednak sztuka. Płakać majuskuła ogólny połączyć.
114	building	"plac Bociania 19
66-728 Zamość"	107	8	8921	Długo decyzja współczesny. Wszelki żona nic pająk w wyniku pszczoła skała.
115	building	"ulica Narutowicza 643
16-057 Ostrów Mazowiecka"	91	6	7188	Musieć brzeg bohater Pan Niemiec. Polska lekcja dalej gniazdo zajmować wygrać wzrok.
116	building	"ul. Odrzańska 37
38-950 Ostrów Mazowiecka"	116	7	6483	Osoba czyjś pracownik niewolnik wiedzieć. Robić obowiązywać program fragment punkt Szwecja.
117	flat	"ul. Broniewskiego 00
15-645 Nysa"	66	5	8963	Rosja zaczynać babka na szczęście za pomocą tańczyć. Delikatny wnętrze wieś dolina kierowca.
118	flat	"ul. Klonowa 59/95
94-292 Słupsk"	20	2	10208	Zamiast ukraiński znaczyć kąt wracać mało. Zachód nigdy świadczyć Rzym nóż okazja wewnątrz.
119	flat	"aleja Rajska 684
03-148 Mława"	69	5	9696	Dziwny obserwować zawodowy dziś umieszczać. Jasny więzienie padać czynność.
120	building	"ul. Jagiellońska 11/22
21-958 Sochaczew"	147	10	9786	Swój tyle więzienie dyskusja. Koncert piec student Ziemia piasek słuchać kolega.
121	building	"pl. Porzeczkowa 847
03-558 Stalowa Wola"	113	7	5562	Odzież budynek ale ocean. Niż oba występować korzystać.
122	flat	"ul. Przemysłowa 65
70-173 Mysłowice"	62	5	11755	Jabłko zajmować się kolacja kolacja. Ostry rana samochodowy palić.
123	building	"plac Wąska 47/36
63-073 Legnica"	81	5	7082	Potrzebować znajdować kostka użyć wydać szczególny.
124	flat	"ulica Krucza 21
54-556 Skierniewice"	20	2	10328	Choć drewniany zrobić broń obowiązywać moc nic. Kontynent wiersz ty.
125	building	"plac Agrestowa 84
08-131 Ząbki"	79	6	6411	Bić zawsze położenie napisać akcja cena iść.
126	building	"ulica Norwida 901
52-119 Kościerzyna"	108	7	7540	Powszechny kolega jezioro ramię ludowy słoń poeta. Czuć leżeć pierwiastek zawartość razem.
127	flat	"plac Olchowa 86
74-595 Koszalin"	44	3	9562	Moralny towarzystwo jej mowa. Kurs na przykład abugida specjalny dawno.
128	flat	"al. Miła 55/34
39-792 Ząbki"	24	2	8362	Przeciwko od cichy nazwa miód różowy jesień. Słowo parlament przygotowywać połowa pięć zaś.
129	building	"ulica Piwna 338
93-794 Tomaszów Mazowiecki"	139	9	5435	Zwolennik dziać się 60 stworzyć smak dawno wyraz. Zły znaczyć wódka przybyć alfabet życie.
130	flat	"ulica Grunwaldzka 12/99
41-933 Tczew"	33	3	7086	Wypadek lód całość cebula państwowy. Autor palec należeć istnienie pisanie wypadek dopływ.
131	flat	"ulica Poznańska 81
75-771 Łaziska Górne"	39	3	9170	"Zboże konflikt podstawa przykład cel pragnienie krowa czuć.
Całość kino robota średni."
132	flat	"ulica Głogowa 49/78
56-406 Rumia"	49	4	7439	Holandia tyle jajko mapa łuk osioł.
133	building	"ul. Dąbrowskiego 847
52-776 Jelenia Góra"	67	5	5256	Bronić koniec dolina zdarzenie obywatelka kobiecy tłumaczyć. Wzdłuż całkiem okropny wyrażać.
134	flat	"plac Turkusowa 953
02-770 Radom"	46	4	7953	50 metoda szpital trzydziesty uśmiech armia. Rak kawa kij stawać się. Mleko religijny syn.
135	flat	"pl. Sucharskiego 93/29
93-517 Olkusz"	64	5	7889	Kobiecy trochę zajęcie syn Jan tydzień chodzić Pan. Suma zapomnieć przy serce japoński symbol.
136	flat	"plac Jesienna 62/62
54-096 Warszawa"	34	3	10880	Odcień pogląd wygląd południowy. Papież ludność trwać charakter święty.
137	building	"aleja Korczaka 59
95-881 Stargard Szczeciński"	151	9	8974	Wspólny ryzyko ryż małżeństwo obecny rzucać związać. Służyć kąt głupek wydać podawać trudno treść.
138	flat	"ul. Rajska 681
07-055 Łowicz"	40	3	8484	Treść roślina zazwyczaj butelka. Odległość wobec urodzić się.
139	flat	"ulica Dworska 37/72
95-154 Wodzisław Śląski"	53	4	7116	Możliwy działalność związany kino otoczenie angielski paliwo.
140	flat	"ul. Grottgera 67
58-249 Starachowice"	38	3	7566	Rozwój północ budować kolej klucz mi. Oddać Holandia odpowiedź doświadczenie gotować smak.
141	building	"ul. Nowowiejska 727
06-089 Lublin"	133	9	8674	Długo telewizyjny chęć łatwo zeszły mistrz. W Postaci jeśli norma zielony minuskuła.
142	building	"plac Łączna 23
83-054 Swarzędz"	125	8	6390	Dobrze banknot wysyłać przeciw wchodzić ściana przestępstwo bajka.
143	flat	"pl. Konstytucji 3 Maja 79
17-312 Żywiec"	68	5	11678	Mieszkanie głupi termin poczta.
144	building	"ul. Piekarska 486
27-373 Łódź"	123	8	6616	Muzyk kościół handlowy cesarz usługa człowiek zbierać górny. Oficjalny po prostu położyć niż.
145	building	"ul. Podmiejska 70
29-479 Dąbrowa Górnicza"	103	6	6756	Włosy pochodzić siostra późny górny książę zaczynać. Mieszkaniec wysłać zawierać stosunek.
146	flat	"aleja Rybacka 26
53-618 Słupsk"	57	5	9599	Samochód mięso przyjść czytać. Osobisty szczyt lipiec palić mięsień.
147	flat	"ul. Lawendowa 20
48-024 Gdynia"	25	2	8885	Wieś przynosić postawa działanie technika. Początek plama krew forma świecić roślina wykonywać.
148	flat	"ul. Ściegiennego 75
96-640 Turek"	53	4	9310	Kaczka budowla reguła. Jedenaście ulica wybór pusty używać świnia.
149	flat	"ul. Rolna 62/62
13-781 Konin"	40	3	10885	System otworzyć pracownik pokryć sok. Dziki parlament zajmować słuchać instrument kobiecy.
150	building	"plac Wspólna 81
72-382 Nysa"	111	7	8505	Człowiek biec granica Kraków. Klasa polegać grupa.
151	flat	"plac Sokola 34/54
16-290 Kraśnik"	40	3	9720	Dziadek ciasto pisać kolano okręt.
152	flat	"ul. Storczykowa 84
96-201 Siemianowice Śląskie"	50	4	9172	Na ku wyglądać wszystko. Owca w przeszłość. Siódmy chleb talerz handlowy tablica zima.
153	flat	"pl. Nałkowskiej 395
94-222 Czeladź"	62	5	10220	Teoria miły 60 szereg. Internetowy wolno kalendarz okolica właściciel.
154	building	"al. Okrężna 92/27
87-116 Legionowo"	74	6	5687	Kosztować decyzja uznawać marka składać się. Słowacja zgoda miasto biblioteka.
155	building	"ul. Orzechowa 082
11-284 Jasło"	113	9	5851	Azja kształt trudno proces. Pojedynczy polityczny czapka w.
156	building	"al. Storczykowa 98
31-448 Mińsk Mazowiecki"	92	6	6575	Chrześcijański kolorowy bać się. Być film przyjść poziom. Głupi uzyskać przemysł republika.
157	flat	"pl. Drzymały 33/45
56-446 Łowicz"	59	5	8281	Mieć Na Imię mój urodzenie polegać książę twardy śpiewać oddawać. Północny pamięć pewny.
158	building	"aleja Jesionowa 76/66
04-328 Chojnice"	124	9	6014	Most wysoko wzrost sos. Ci ojczyzna biskup wcześnie.
159	building	"ul. Lipowa 36/81
96-684 Pabianice"	105	7	9191	Nagle dużo chłopiec podnieść. Mierzyć wóz dźwięk obiekt na przykład Węgry.
160	building	"ul. Gałczynskiego 96/00
25-943 Kętrzyn"	88	6	9983	Bajka świat struktura ważny przeciwny czysty przechodzić. Forma jednostka dzięki.
161	flat	"ul. Wiatraczna 532
88-272 Swarzędz"	29	2	10813	Opieka zarówno pustynia powiat. Dziś majuskuła kolano gość skóra zawodowy przemysł złapać.
162	flat	"pl. Wojska Polskiego 21/43
81-471 Otwock"	24	2	10161	We strefa szereg oddział. Pióro pieniądze dach ojciec wujek. Kieszeń skala woda wiersz czeski.
163	flat	"aleja Turkusowa 377
45-296 Płońsk"	25	2	10636	Utwór ani kolega dusza prowincja minuta. Dokonać smutny szósty kończyć.
164	building	"aleja Wybickiego 30/81
48-568 Katowice"	86	6	5628	Poprzedni stary morze kultura dziewięć. Czekać urząd siedziba uniwersytet dyskusja.
165	flat	"plac Piastowska 13
17-592 Żary"	39	3	11442	Boże Narodzenie ząb kąt ani liczba. Dział duch pochodzić narodowy trudność pismo.
166	building	"plac Kruczkowskiego 43
79-572 Konin"	95	6	6485	Gospodarczy postępowanie 80. Przeszkoda głęboki noga święto jakość.
167	building	"plac Bursztynowa 646
57-279 Kielce"	154	10	7276	Polak farba krok praktyka oczekiwać głowa. Kontrola za pomocą ból występować 50 napisać ładny.
168	building	"aleja Przechodnia 90/44
05-360 Stalowa Wola"	78	5	6758	Strój siebie nosić tajemnica.
169	flat	"al. Zapolskiej 60/87
55-666 Nowy Dwór Mazowiecki"	24	2	8511	Aktor leżeć cierpieć. Zboże drogi dzięki wywołać droga co wokół.
170	building	"pl. Konstytucji 3 Maja 822
89-714 Mława"	106	7	9603	Podział lód ryzyko mężczyzna okropny. Kura ile nagle siódmy łączyć praktyka tradycja późny.
171	building	"plac Miłosza 515
17-250 Gniezno"	157	10	7539	Siebie z rok minuskuła czwartek zajmować.
172	building	"plac Sportowa 34
88-830 Biała Podlaska"	154	10	5526	Wymagać lotnisko przyjemny opuścić dziób gwiazda. Materiał krótki dół ciężki pełny rzadki.
173	flat	"ulica Fredry 519
82-038 Poznań"	37	3	10583	Słaby wrogość ponad gołąb ocena kolej. Chiny księga spadek łatwy przynieść.
174	building	"ulica Wiejska 634
89-591 Sandomierz"	90	6	9459	Spór sportowy psychiczny nie ma śpiewać należeć. Książę odpowiadać ptak czeski pieśń rak obywatel.
175	flat	"pl. Szymanowskiego 129
85-910 Marki"	50	4	10107	Ci podróżować pełnić Kościół. Ciekawy żart handlowy delikatny.
176	building	"aleja Harcerska 319
07-494 Jawor"	71	5	5976	Norma obwód opieka istota wziąć. Jajko małpa program wracać medycyna wspaniały ciemność.
177	flat	"ulica Grottgera 87/72
06-076 Bolesławiec"	27	2	11692	"Noc chodzić blady lista wisieć.
Zamykać sos przeciwny Rumunia pięć łagodny drogi."
178	flat	"ul. Kowalska 95/59
80-997 Knurów"	56	5	11968	Trzydzieści mężczyzna zrobić. Stały złożony ogon specjalista żeby opisać.
179	building	"pl. Miarki 329
27-128 Sochaczew"	137	9	7705	Określony korzyść penis gdyby. Usługa Pan prowincja wrzesień. Zawodowy wiatr drogi znów zbyt.
180	flat	"plac Krótka 157
68-962 Środa Wielkopolska"	51	4	8564	Strój pożar plecy pragnienie nowy wybrać. Ona zima położony dzień trudność ulegać wzrost.
181	flat	"al. Kościuszki 405
79-279 Olkusz"	28	2	9777	Klient zawsze dorosły. Fakt głośny język pracownik łuk doprowadzić.
182	building	"pl. Plater 30/39
36-430 Jarosław"	113	8	8384	Włoski poeta podział dusza minuta. Przykład dolina długość bić ty. Dość suchy wyścig dostać.
183	flat	"pl. Zakątek 82/09
41-453 Otwock"	23	2	11406	Drzwi bardzo potrzebny wykonanie. Zakres mózg ból. Bar pojazd hasło przeszłość cichy przez stopa.
184	building	"aleja Tęczowa 821
94-933 Tychy"	101	7	6432	Wspomnienie ocean złożyć towarzystwo związać lot zapalenie. 70 straszny prywatny.
185	flat	"ulica Kolonia 40/21
97-268 Kętrzyn"	37	3	9118	Rzucić Australia kaczka podstawowy. Minerał byk koszula uczyć lis ubogi rzecz.
